Topic,References,Tag,Abdullah,Shahd,"Abdullah Status ",Shahd Status,Notes
"Training Tasks - CRUD Operations for Admin, Employee, Department, Customer, Notification and Reservation - API Documentation with Swagger",https://chatgpt.com/share/6712c5fd-ed2c-8009-99f0-ee2b675b0ca7,Training Tasks,Yes,Yes,Done,Done,https://www.notion.soundefined
Streams,https://www.geeksforgeeks.org/stream-in-java/,"Data Structure, Java Fundamentals",Yes,Yes,Done,Done,Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/Streams%20in%20Java%20122f1472fabd800f9e37d09339b50bbc.md
Optional,,"Java 8+ Features, Java Fundamentals",Yes,Yes,Done,Done,Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/Optional%20Class%20123f1472fabd808cbdd6feed511bdf82.md
Map In Java,https://www.geeksforgeeks.org/map-interface-java-examples/,Others,Yes,Yes,Done,Done,
Collectors Java,"1. https://www.geeksforgeeks.org/java-collectors/


2. https://chatgpt.com/share/6714a2a0-b2d8-8009-881a-d5231bd894fc",Others,Yes,Yes,Done,Done,
"Streams, Optional and Map Exercises",https://chatgpt.com/share/6713a216-548c-8009-a067-6b352121f7e5,Exercises,Yes,No,Done,In progress,
"single table inheritance strategy and discriminator ",,,Yes,Yes,Done,Done,
Inversion of Control(IoC),,"Spring Core, Spring Framework Core",Yes,Yes,Done,Done,Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/The%20Difference%20between%20DI%20&%20IoC%20124f1472fabd808b8cbbc1c27a7c4b4b.md
Beans,https://www.baeldung.com/spring-bean,"Spring Beans, Spring Framework Core",Yes,Yes,Done,Done,
Bean Scopes,https://medium.com/@miguelangelperezdiaz444/understanding-bean-scopes-in-spring-which-one-is-best-for-your-application-3ff404e44b76,"Spring Beans, Spring Framework Core",Yes,Yes,Done,Done,
Bean Lifecycle,https://www.geeksforgeeks.org/bean-life-cycle-in-java-spring/,"Spring Beans, Spring Framework Core",Yes,Yes,Theoric,Done,
Application Context,https://www.baeldung.com/spring-application-context,"Application Context, Spring Framework Core",Yes,Yes,Theoric,Done,
BeanFactory,https://www.baeldung.com/spring-beanfactory,"Application Context, Spring Framework Core",Yes,Yes,Theoric,Done,
Aspect-Oriented Programming,https://naveen-metta.medium.com/deep-dive-into-aspect-oriented-programming-aop-in-spring-and-spring-boot-afcb29141cbd,"Spring AOP, Spring Framework Core",No,No,Not Important Now,Not started,
Aspects,,"Spring AOP, Spring Framework Core",No,No,Not Important Now,Not started,
Join Points,,"Spring AOP, Spring Framework Core",No,No,Not Important Now,Not started,
Pointcuts,,"Spring AOP, Spring Framework Core",No,No,Not Important Now,Not started,
Template Method Design Pattern,,Design Pattern,Yes,Yes,Done,Done,