Topic,References,Tag,Abdullah,Shahd,"Abdullah Status ",Shahd Status,Notes,Day
Externalized Annotation,https://chatgpt.com/share/671de7c5-8a1c-8009-be3f-5ddda2ad4567,"Configuration, Spring Boot Fundamental",Yes,Yes,Done,Done,Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/Externalized%20Annotation%2012cf1472fabd807e8184d388e767045a.md,"October 27, 2024"
@Profile Annotation,https://medium.com/@dev_RV/what-is-profile-annotation-in-java-implementation-with-different-environment-dev-test-prod-80f0f47bd8ed,"Profile, Spring Boot Fundamental",Yes,Yes,Done,Done,Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/@Profile%20Annotation%2012cf1472fabd802dbb77f92299596255.md,"October 27, 2024"
Unit Testing,https://medium.com/@Lakshitha_Fernando/spring-boot-unit-testing-for-repositories-controllers-and-services-using-junit-5-and-mockito-def3ff5891be,,Yes,Yes,Done,Done,Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/Unit%20Testing%20with%20JUnit%205%20&%20Mockito%20131f1472fabd80b2bb35f2240544c5d3.md,
Problem-Solving Question,,Problem Solving,No,Yes,In progress,Done,,"October 27, 2024"
Profile-Specific Configuration,https://medium.com/@dev_RV/what-is-profile-annotation-in-java-implementation-with-different-environment-dev-test-prod-80f0f47bd8ed,"Profile, Spring Boot Fundamental",Yes,Yes,Done,Done,,"October 29, 2024"
Spring Boot Starter Dependencies,https://chatgpt.com/share/6729bcab-28e4-800b-944f-28a8291c3b8a,"Spring Boot Fundamental, Spring Boot Starter Dependencies",Yes,Yes,Done,Done,,"October 29, 2024"
Problem Solving Question,,Problem Solving,No,Yes,Not started,Done,,"October 29, 2024"
Auto-configuration,https://www.geeksforgeeks.org/spring-boot-auto-configuration/,"Customizing Spring Boot, Spring Boot Fundamental",Yes,Yes,Done,Done,Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/Spring%20Boot%20-%20Auto%20Configuration%20132f1472fabd8002b6d1f5d5d9d829a6.md,"October 31, 2024"
Excluding,https://www.geeksforgeeks.org/spring-boot-auto-configuration/,"Customizing Spring Boot, Spring Boot Fundamental",Yes,Yes,Done,Done,Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/Spring%20Boot%20-%20Execluding%20132f1472fabd809283e1e71abd858d58.md,"October 31, 2024"
Poblem Solving Question,,Problem Solving,No,No,Not started,In progress,,"October 31, 2024"
Customizing Bean,https://chatgpt.com/share/67264954-7fd8-8006-a69c-626079ee6fed,"Customizing Spring Boot, Spring Boot Fundamental",Yes,Yes,Done,Done,Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/Spring%20Boot%20-%20Bean%20Customization%20133f1472fabd808a9659c8be82b3a1f7.md,"November 3, 2024"
@Controller - @RestController - @RequestMapping - @GetMapping - @PostMapping,https://chatgpt.com/share/67261f84-136c-8006-ad2c-b70e9156fe8e,"RESTful Web Services, Spring MVC",Yes,Yes,Done,Done,,"November 3, 2024"
Problem Solving Question,,Problem Solving,No,No,Not started,Not started,,"November 3, 2024"
@Valid - @NotNull - Custom Validator,"https://medium.com/@himani.prasad016/validations-in-spring-boot-e9948aa6286b

","DTOs and Data Validation, RESTful Web Services",Yes,Yes,Done,Done,"1. Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/Validations%20in%20Spring%20Boot%20133f1472fabd80ceab97e5f16ff60c42.md

Note: All Things Completed Except the Custom Validation,  I think it’s early to learn about it.","November 5, 2024"
ResponseEntity - HTTP Status Code,https://chatgpt.com/share/67261f0f-56fc-8006-a573-1a6f9a452e03,"RESTful Web Services, Response Handling",Yes,Yes,Done,Done,,"November 5, 2024"
Problem Solving Question,,Problem Solving,No,No,Not started,Not started,,"November 5, 2024"
@ControllerAdvice - @ExceptionHandler,,"Exception Handling, RESTful Web Services",No,No,Not started,Not started,,"November 7, 2024"
Hypermedia,,"HATEOAS, RESTful Web Services",No,No,Not started,Not started,,"November 7, 2024"
Problem Solving Question,,Problem Solving,No,No,Not started,Not started,,"November 7, 2024"